,id,lat,lon,slno,closest_coords
113,113,37.22807203,-80.41787961,113,['GH020041.MP4-moviepy-20240508_121516/frame_1686338744_37.2280096_-80.4179672.jpg']
114,114,37.21882376,-80.42467347,114,[None]
115,115,37.22552769,-80.42252352,115,[None]
116,116,37.22201587,-80.42245616,116,['GH110041.MP4-moviepy-20240508_145708/frame_1686343341_37.221868_-80.4223705.jpg']
117,117,37.22404791,-80.42277866,117,['GH090041.MP4-moviepy-20240508_143554/frame_1686342186_37.2240547_-80.4227814.jpg']
118,118,37.22638528,-80.42161266,118,['GH010042.MP4-moviepy-20240508_120507/frame_1686343877_37.2264517_-80.421689.jpg']
119,119,37.23122124,-80.42545875,119,[None]
120,120,37.22581454,-80.41939926,120,['GH100041.MP4-moviepy-20240508_144629/frame_1686343079_37.225815_-80.4193996.jpg']
121,121,37.22295383,-80.42204555,121,['GH110041.MP4-moviepy-20240508_145708/frame_1686343249_37.2230272_-80.4219606.jpg']
122,122,37.2310569,-80.4292842,122,['GH040041.MP4-moviepy-20240508_125731/frame_1686339837_37.2312211_-80.4293755.jpg']
123,123,37.23024155,-80.41720893,123,[None]
124,124,37.22325665,-80.42276669,124,['GH080041.MP4-moviepy-20240508_142229/frame_1686342067_37.223196_-80.4225978.jpg']
125,125,37.22660052,-80.42878418,125,[None]
126,126,37.22685617,-80.41696355,126,['GH020041.MP4-moviepy-20240508_121516/frame_1686338575_37.2268633_-80.4169584.jpg']
127,127,37.22949057,-80.42767157,127,[None]
128,128,37.22085144,-80.41732592,128,[None]
129,129,37.22319623,-80.42971092,129,[None]
130,130,37.22490853,-80.43939491,130,[None]
131,131,37.22769419,-80.43841723,131,['GH050042.MP4-moviepy-20240508_133005/frame_1686346357_37.2276138_-80.4383893.jpg']
132,132,37.22856652,-80.41654747,132,['GH020041.MP4-moviepy-20240508_121516/frame_1686338842_37.2286391_-80.4165954.jpg']
133,133,37.22877971,-80.42075963,133,['GH010042.MP4-moviepy-20240508_120507/frame_1686344116_37.228751_-80.4207971.jpg']
134,134,37.22892912,-80.41514542,134,[None]
135,135,37.22520449,-80.41810456,135,['GH100041.MP4-moviepy-20240508_144629/frame_1686342854_37.2251975_-80.4181183.jpg']
136,136,37.22406672,-80.42189234,136,['GH090041.MP4-moviepy-20240508_143554/frame_1686342163_37.2240806_-80.421922.jpg']
137,137,37.22418225,-80.42227317,137,['GH090041.MP4-moviepy-20240508_143554/frame_1686342152_37.2241232_-80.4222657.jpg']
138,138,37.22250117,-80.41952657,138,[None]
139,139,37.21874918,-80.41913704,139,['GH070041.MP4-moviepy-20240508_140126/frame_1686341394_37.2187842_-80.4191081.jpg']
140,140,37.23255161,-80.41808085,140,[None]
141,141,37.22588036,-80.42456954,141,['GH110041.MP4-moviepy-20240508_145708/frame_1686343589_37.2258878_-80.4245515.jpg']
142,142,37.22853621,-80.41680824,142,['GH020041.MP4-moviepy-20240508_121516/frame_1686338836_37.2285446_-80.4168111.jpg']
143,143,37.22452294,-80.43761183,143,['GH060042.MP4-moviepy-20240508_135052/frame_1686346626_37.2244955_-80.4376343.jpg']
144,144,37.22966623,-80.42826357,144,['GH050041.MP4-moviepy-20240508_131929/frame_1686340084_37.2296738_-80.4282509.jpg']
145,145,37.21861623,-80.42474927,145,[None]
146,146,37.23004086,-80.42243322,146,['GH040042.MP4-moviepy-20240508_130828/frame_1686345601_37.2300804_-80.4224835.jpg']
147,147,37.21893735,-80.42675881,147,[None]
148,148,37.23036627,-80.41629338,148,[None]
149,149,37.22828091,-80.41937328,149,[None]
150,150,37.22178746,-80.42641089,150,['GH070042.MP4-moviepy-20240508_141202/frame_1686347317_37.2218003_-80.4263944.jpg']
151,151,37.23280973,-80.42311444,151,[None]
152,152,37.22717602,-80.4190356,152,['GH020041.MP4-moviepy-20240508_121516/frame_1686338647_37.2272072_-80.4190061.jpg']
153,153,37.21870519,-80.41529457,153,['GH070041.MP4-moviepy-20240508_140126/frame_1686341262_37.2185775_-80.4153976.jpg']
154,154,37.22906676,-80.42692844,154,[None]
155,155,37.23252699,-80.42271687,155,[None]
156,156,37.22144161,-80.42208996,156,['GH110041.MP4-moviepy-20240508_145708/frame_1686343326_37.2215912_-80.4220188.jpg']
157,157,37.23074629,-80.43555092,157,[None]
158,158,37.22533951,-80.42211416,158,[None]
159,159,37.22835929,-80.42574647,159,['GH020042.MP4-moviepy-20240508_122528/frame_1686344819_37.228363_-80.4257526.jpg']
160,160,37.22967812,-80.41663322,160,[None]
161,161,37.23056753,-80.42133255,161,['GH040041.MP4-moviepy-20240508_125731/frame_1686339422_37.2306398_-80.4212309.jpg']
162,162,37.22925509,-80.427558,162,[None]
163,163,37.22694899,-80.42468005,163,['GH110041.MP4-moviepy-20240508_145708/frame_1686343651_37.2269748_-80.424573.jpg']
164,164,37.22764457,-80.41739087,164,['GH020041.MP4-moviepy-20240508_121516/frame_1686338597_37.2274989_-80.4175194.jpg']
165,165,37.23206842,-80.41922595,165,[None]
166,166,37.220401,-80.42659982,166,['GH060041.MP4-moviepy-20240508_134034/frame_1686340537_37.2203946_-80.4266035.jpg']
167,167,37.22167481,-80.42172613,167,['GH110041.MP4-moviepy-20240508_145708/frame_1686343318_37.2217268_-80.4217688.jpg']
168,168,37.21842076,-80.42509335,168,['GH060041.MP4-moviepy-20240508_134034/frame_1686340616_37.2183874_-80.4251657.jpg']
169,169,37.22502077,-80.42319323,169,['GH080041.MP4-moviepy-20240508_142229/frame_1686341899_37.2249751_-80.423094.jpg']
170,170,37.2288717,-80.42063281,170,['GH010042.MP4-moviepy-20240508_120507/frame_1686344116_37.228751_-80.4207971.jpg']
171,171,37.23038651,-80.41685506,171,[None]
172,172,37.2218946,-80.42388533,172,[None]
173,173,37.23186708,-80.42016145,173,[None]
174,174,37.23317124,-80.4251421,174,['GH040041.MP4-moviepy-20240508_125731/frame_1686339554_37.2331127_-80.4251645.jpg']
175,175,37.23035248,-80.43077594,175,['GH050041.MP4-moviepy-20240508_131929/frame_1686339987_37.2303273_-80.4309323.jpg']
176,176,37.22719833,-80.43815349,176,['GH050042.MP4-moviepy-20240508_133005/frame_1686346426_37.227124_-80.4381578.jpg']
177,177,37.22674123,-80.41775887,177,['GH100041.MP4-moviepy-20240508_144629/frame_1686342665_37.226737_-80.4177608.jpg']
178,178,37.2273121,-80.42566012,178,['GH020042.MP4-moviepy-20240508_122528/frame_1686344671_37.2273736_-80.4255972.jpg']
179,179,37.2243116,-80.42167451,179,['GH080041.MP4-moviepy-20240508_142229/frame_1686341719_37.2242699_-80.4217312.jpg']
180,180,37.22627537,-80.41904232,180,[None]
181,181,37.22579257,-80.43755862,181,['GH060042.MP4-moviepy-20240508_135052/frame_1686346498_37.2258194_-80.4374682.jpg']
182,182,37.22389444,-80.42150866,182,['GH110041.MP4-moviepy-20240508_145708/frame_1686343219_37.2238523_-80.4213999.jpg']
183,183,37.22947927,-80.42808187,183,['GH050041.MP4-moviepy-20240508_131929/frame_1686340092_37.2294831_-80.4280735.jpg']
184,184,37.22646065,-80.41980026,184,[None]
185,185,37.22747798,-80.42456059,185,['GH110041.MP4-moviepy-20240508_145708/frame_1686343669_37.2273761_-80.424408.jpg']
186,186,37.2301901,-80.42071678,186,['GH010042.MP4-moviepy-20240508_120507/frame_1686344229_37.2302464_-80.4208571.jpg']
187,187,37.21989205,-80.42764318,187,['GH010041.MP4-moviepy-20240508_115522/frame_1686338142_37.2198884_-80.4276398.jpg']
188,188,37.22437507,-80.42072936,188,['GH110041.MP4-moviepy-20240508_145708/frame_1686343190_37.2245026_-80.4208247.jpg']
189,189,37.22262328,-80.42008886,189,['GH080041.MP4-moviepy-20240508_142229/frame_1686341627_37.2226319_-80.4200673.jpg']
190,190,37.23133961,-80.42413934,190,['GH030042.MP4-moviepy-20240508_124630/frame_1686345201_37.2313456_-80.4241282.jpg']
191,191,37.22549552,-80.41905206,191,[None]
192,192,37.21747542,-80.41522483,192,['GH070041.MP4-moviepy-20240508_140126/frame_1686341221_37.2174607_-80.4151027.jpg']
193,193,37.21937317,-80.42112858,193,[None]
194,194,37.21942187,-80.41939845,194,['GH070041.MP4-moviepy-20240508_140126/frame_1686341416_37.2194242_-80.4194037.jpg']
195,195,37.23060169,-80.42493385,195,['GH030042.MP4-moviepy-20240508_124630/frame_1686345256_37.2305173_-80.4248286.jpg']
196,196,37.23101508,-80.4206027,196,['GH010042.MP4-moviepy-20240508_120507/frame_1686344246_37.2309227_-80.4206484.jpg']
197,197,37.21869827,-80.41926361,197,['GH070041.MP4-moviepy-20240508_140126/frame_1686341396_37.2188103_-80.4191515.jpg']
198,198,37.22359791,-80.42135569,198,['GH110041.MP4-moviepy-20240508_145708/frame_1686343225_37.2236952_-80.4214983.jpg']
199,199,37.22964735,-80.42661798,199,[None]
200,200,37.22613182,-80.42152292,200,[None]
201,201,37.22849822,-80.42264999,201,[None]
202,202,37.23029023,-80.42155045,202,[None]
203,203,37.22702995,-80.42468659,203,['GH110041.MP4-moviepy-20240508_145708/frame_1686343655_37.2270476_-80.4246255.jpg']
204,204,37.22719085,-80.42067103,204,['GH090041.MP4-moviepy-20240508_143554/frame_1686342516_37.2272115_-80.4207126.jpg']
205,205,37.22446055,-80.42030008,205,[None]
206,206,37.22791373,-80.42482095,206,['GH020042.MP4-moviepy-20240508_122528/frame_1686344701_37.2279211_-80.424834.jpg']
207,207,37.22586064,-80.41870809,207,['GH100041.MP4-moviepy-20240508_144629/frame_1686342720_37.2258766_-80.4186839.jpg']
208,208,37.22666162,-80.42006856,208,[None]
209,209,37.23189052,-80.41901329,209,[None]
210,210,37.22340662,-80.42541026,210,['GH010041.MP4-moviepy-20240508_115522/frame_1686337924_37.2233657_-80.4253622.jpg']
211,211,37.23043359,-80.4158143,211,[None]
212,212,37.22622313,-80.41909168,212,[None]
213,213,37.22990463,-80.42842157,213,['GH050041.MP4-moviepy-20240508_131929/frame_1686340075_37.2299002_-80.4284304.jpg']
214,214,37.22199208,-80.41894691,214,[None]
215,215,37.23060785,-80.41904746,215,[None]
216,216,37.20960366,-80.42366345,216,[None]
217,217,37.22456953,-80.42050587,217,['GH110041.MP4-moviepy-20240508_145708/frame_1686343180_37.2246304_-80.4205717.jpg']
218,218,37.23099826,-80.43292002,218,['GH040041.MP4-moviepy-20240508_125731/frame_1686339930_37.2309989_-80.4329139.jpg']
219,219,37.22472146,-80.41872574,219,['GH100041.MP4-moviepy-20240508_144629/frame_1686342931_37.2247062_-80.4187327.jpg']
220,220,37.22576458,-80.41908328,220,[None]
221,221,37.22759909,-80.41894093,221,[None]
222,222,37.22051636,-80.42513993,222,['GH010041.MP4-moviepy-20240508_115522/frame_1686338226_37.2204406_-80.4251197.jpg']
223,223,37.22240453,-80.42017301,223,['GH020041.MP4-moviepy-20240508_121516/frame_1686338371_37.2224607_-80.4203327.jpg']
224,224,37.22840382,-80.41735458,224,[None]
225,225,37.22252649,-80.42348341,225,['GH110041.MP4-moviepy-20240508_145708/frame_1686343427_37.2226449_-80.4234557.jpg']
226,226,37.22399633,-80.41774525,226,['GH020041.MP4-moviepy-20240508_121516/frame_1686338451_37.2241128_-80.4178887.jpg']
227,227,37.21730322,-80.41899665,227,['GH070041.MP4-moviepy-20240508_140126/frame_1686341104_37.2173214_-80.4189877.jpg']
228,228,37.22179339,-80.42280492,228,['GH110041.MP4-moviepy-20240508_145708/frame_1686343354_37.2218016_-80.4227949.jpg']
229,229,37.22798087,-80.41843043,229,[None]
230,230,37.23146807,-80.42313492,230,['GH030042.MP4-moviepy-20240508_124630/frame_1686345147_37.2314602_-80.4231177.jpg']
231,231,37.2315765,-80.424239,231,['GH030042.MP4-moviepy-20240508_124630/frame_1686345212_37.231422_-80.4242113.jpg']
232,232,37.21837031,-80.41922673,232,[None]
233,233,37.22220237,-80.42195156,233,[None]
234,234,37.22536994,-80.41816054,234,['GH100041.MP4-moviepy-20240508_144629/frame_1686342848_37.2253701_-80.4181476.jpg']
235,235,37.23089756,-80.4209231,235,['GH010042.MP4-moviepy-20240508_120507/frame_1686344258_37.2309163_-80.4208833.jpg']
236,236,37.22951886,-80.42642332,236,[None]
237,237,37.22762542,-80.41843737,237,['GH020041.MP4-moviepy-20240508_121516/frame_1686338623_37.227588_-80.4184501.jpg']
238,238,37.23129254,-80.42415795,238,['GH030042.MP4-moviepy-20240508_124630/frame_1686345201_37.2313421_-80.4241253.jpg']
239,239,37.22502181,-80.41816571,239,['GH100041.MP4-moviepy-20240508_144629/frame_1686342859_37.2250826_-80.418177.jpg']
240,240,37.22205345,-80.42395573,240,[None]
241,241,37.23025729,-80.41719926,241,[None]
242,242,37.22515873,-80.41993769,242,[None]
243,243,37.22440824,-80.42050406,243,[None]
244,244,37.22206694,-80.42246159,244,[None]
245,245,37.22620201,-80.41948879,245,[None]
246,246,37.23087073,-80.41763881,246,['GH030041.MP4-moviepy-20240508_123536/frame_1686339284_37.2308325_-80.4175997.jpg']
247,247,37.2253599,-80.41921269,247,['GH100041.MP4-moviepy-20240508_144629/frame_1686342979_37.2252793_-80.4193382.jpg']
248,248,37.22248008,-80.42088123,248,[None]
249,249,37.22563845,-80.41979492,249,['GH100041.MP4-moviepy-20240508_144629/frame_1686343058_37.2256232_-80.4198074.jpg']
250,250,37.23329148,-80.42486302,250,[None]
251,251,37.22578688,-80.42458298,251,['GH090041.MP4-moviepy-20240508_143554/frame_1686342302_37.2257871_-80.4245836.jpg']
252,252,37.22165095,-80.41962538,252,['GH080041.MP4-moviepy-20240508_142229/frame_1686341596_37.2217003_-80.41946.jpg']
253,253,37.223086,-80.42391668,253,['GH080041.MP4-moviepy-20240508_142229/frame_1686341995_37.2231689_-80.4238237.jpg']
254,254,37.22767168,-80.41867309,254,['GH020041.MP4-moviepy-20240508_121516/frame_1686338628_37.2275983_-80.4186109.jpg']
